air={time=31/08/2023 21:56:00, station=1, temperature=26.4, moisture=98.3, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=193, pm25=1.4, pm10=5.9, co=2, nox=0, so2=0}, water={time=31/08/2023 21:56:00, station=2, ph=8.5, DO=3.8, temperature=27.7, salinity=116.2}, earth={time=31/08/2023 21:56:00, station=3, temperature=28.7, moisture=27.2, ph=10.9, salinity=7.5, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=30/08/2023 16:20:00, station=1, temperature=28.3, moisture=89.6, light=209, total_rainfall=3176.4, rainfall=0, wind_direction=101, pm25=0.9, pm10=1.6, co=3, nox=0, so2=0}, water={time=30/08/2023 16:20:00, station=2, ph=8.4, DO=3.7, temperature=29.7, salinity=115.5}, earth={time=30/08/2023 16:20:00, station=3, temperature=26.4, moisture=28.0, ph=13.3, salinity=8.6, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=30/08/2023 11:13:00, station=1, temperature=36.8, moisture=66.6, light=1320, total_rainfall=3176.4, rainfall=0, wind_direction=90, pm25=1.0, pm10=1.1, co=5, nox=0, so2=0}, water={time=30/08/2023 11:13:00, station=2, ph=8.3, DO=3.7, temperature=29.7, salinity=115.9}, earth={time=30/08/2023 11:13:00, station=3, temperature=26.6, moisture=28.2, ph=12.5, salinity=8.3, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=30/08/2023 11:02:00, station=1, temperature=36.0, moisture=67.5, light=1210, total_rainfall=3176.4, rainfall=0, wind_direction=159, pm25=0.6, pm10=0.6, co=4, nox=0, so2=0}, water={time=30/08/2023 11:02:00, station=2, ph=8.3, DO=3.7, temperature=29.6, salinity=115.7}, earth={time=30/08/2023 11:02:00, station=3, temperature=26.6, moisture=28.2, ph=13.1, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=30/08/2023 09:25:00, station=1, temperature=36.3, moisture=68.9, light=891, total_rainfall=3176.4, rainfall=0, wind_direction=103, pm25=1.3, pm10=3.6, co=3, nox=0, so2=0}, water={time=30/08/2023 09:25:00, station=2, ph=8.3, DO=3.7, temperature=28.9, salinity=115.6}, earth={time=30/08/2023 09:25:00, station=3, temperature=26.6, moisture=27.9, ph=12.6, salinity=8.3, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=30/08/2023 09:09:00, station=1, temperature=34.6, moisture=76.6, light=825, total_rainfall=3176.4, rainfall=0, wind_direction=177, pm25=0.3, pm10=0.4, co=3, nox=0, so2=0}, water={time=30/08/2023 09:09:00, station=2, ph=8.3, DO=3.8, temperature=28.8, salinity=115.5}, earth={time=30/08/2023 09:09:00, station=3, temperature=26.6, moisture=27.8, ph=12.8, salinity=8.4, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=30/08/2023 08:33:00, station=1, temperature=34.0, moisture=80.1, light=700, total_rainfall=3176.4, rainfall=0, wind_direction=81, pm25=1.2, pm10=1.8, co=3, nox=0, so2=0}, water={time=30/08/2023 08:33:00, station=2, ph=8.3, DO=3.7, temperature=28.5, salinity=114.7}, earth={time=30/08/2023 08:33:00, station=3, temperature=26.7, moisture=27.6, ph=12.4, salinity=8.2, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=29/08/2023 19:21:00, station=1, temperature=26.8, moisture=97.3, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=102, pm25=1.0, pm10=1.2, co=2, nox=0, so2=0}, water={time=29/08/2023 19:21:00, station=2, ph=8.4, DO=3.7, temperature=30.6, salinity=114.3}, earth={time=29/08/2023 19:21:00, station=3, temperature=26.6, moisture=27.9, ph=12.2, salinity=8.1, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=29/08/2023 15:26:00, station=1, temperature=32.8, moisture=76.5, light=672, total_rainfall=3176.4, rainfall=0, wind_direction=141, pm25=0.9, pm10=1.4, co=5, nox=0, so2=0}, water={time=29/08/2023 15:26:00, station=2, ph=8.3, DO=3.5, temperature=31.5, salinity=115.5}, earth={time=29/08/2023 15:26:00, station=3, temperature=26.1, moisture=28.7, ph=13.2, salinity=8.6, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=29/08/2023 14:42:00, station=1, temperature=33.6, moisture=73.4, light=2695, total_rainfall=3176.4, rainfall=0, wind_direction=100, pm25=0.9, pm10=3.2, co=6, nox=0, so2=0}, water={time=29/08/2023 14:42:00, station=2, ph=8.3, DO=3.5, temperature=31.3, salinity=115.3}, earth={time=29/08/2023 14:42:00, station=3, temperature=26.2, moisture=28.8, ph=12.9, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=29/08/2023 13:48:00, station=1, temperature=35.3, moisture=67.9, light=1715, total_rainfall=3176.4, rainfall=0, wind_direction=95, pm25=1.7, pm10=4.3, co=6, nox=0, so2=0}, water={time=29/08/2023 13:48:00, station=2, ph=8.3, DO=3.5, temperature=31.1, salinity=115.6}, earth={time=29/08/2023 13:48:00, station=3, temperature=26.2, moisture=28.6, ph=12.0, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=29/08/2023 10:57:00, station=1, temperature=36.0, moisture=66.0, light=940, total_rainfall=3176.4, rainfall=0, wind_direction=140, pm25=0.9, pm10=1.7, co=5, nox=0, so2=0}, water={time=29/08/2023 10:57:00, station=2, ph=8.3, DO=3.6, temperature=29.7, salinity=115.5}, earth={time=29/08/2023 10:57:00, station=3, temperature=24.1, moisture=28.5, ph=11.7, salinity=7.8, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=29/08/2023 10:33:00, station=1, temperature=35.9, moisture=67.2, light=945, total_rainfall=3176.4, rainfall=0, wind_direction=75, pm25=0.6, pm10=2.0, co=5, nox=0, so2=0}, water={time=29/08/2023 10:33:00, station=2, ph=8.3, DO=3.7, temperature=29.5, salinity=115.4}, earth={time=29/08/2023 10:33:00, station=3, temperature=26.3, moisture=28.2, ph=12.6, salinity=8.3, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=29/08/2023 08:39:00, station=1, temperature=32.8, moisture=80.5, light=695, total_rainfall=3176.4, rainfall=0, wind_direction=105, pm25=1.1, pm10=2.7, co=3, nox=0, so2=0}, water={time=29/08/2023 08:39:00, station=2, ph=8.3, DO=3.8, temperature=28.5, salinity=114.5}, earth={time=29/08/2023 08:39:00, station=3, temperature=26.3, moisture=27.8, ph=13.1, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=28/08/2023 22:44:00, station=1, temperature=27.6, moisture=95.9, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=124, pm25=0.8, pm10=1.0, co=2, nox=0, so2=0}, water={time=28/08/2023 22:44:00, station=2, ph=8.4, DO=3.8, temperature=29.3, salinity=115.1}, earth={time=28/08/2023 22:44:00, station=3, temperature=26.3, moisture=27.8, ph=12.8, salinity=8.4, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=28/08/2023 19:13:00, station=1, temperature=28.2, moisture=93.5, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=73, pm25=1.0, pm10=2.9, co=3, nox=0, so2=0}, water={time=28/08/2023 19:13:00, station=2, ph=8.4, DO=3.7, temperature=30.1, salinity=114.6}, earth={time=28/08/2023 19:13:00, station=3, temperature=26.5, moisture=28.0, ph=12.3, salinity=8.2, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=28/08/2023 17:06:00, station=1, temperature=29.7, moisture=86.5, light=248, total_rainfall=3176.4, rainfall=0, wind_direction=145, pm25=2.9, pm10=11.8, co=3, nox=0, so2=0}, water={time=28/08/2023 17:06:00, station=2, ph=8.4, DO=3.6, temperature=30.6, salinity=114.8}, earth={time=28/08/2023 17:06:00, station=3, temperature=26.5, moisture=28.3, ph=12.7, salinity=8.3, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=28/08/2023 16:22:00, station=1, temperature=30.7, moisture=87.2, light=577, total_rainfall=3176.4, rainfall=0, wind_direction=108, pm25=1.2, pm10=1.7, co=4, nox=0, so2=0}, water={time=28/08/2023 16:22:00, station=2, ph=8.4, DO=3.5, temperature=30.7, salinity=115.0}, earth={time=28/08/2023 16:22:00, station=3, temperature=26.6, moisture=28.3, ph=12.8, salinity=8.4, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=28/08/2023 15:21:00, station=1, temperature=31.1, moisture=81.0, light=590, total_rainfall=3176.4, rainfall=0, wind_direction=104, pm25=2.2, pm10=4.4, co=4, nox=0, so2=0}, water={time=28/08/2023 15:21:00, station=2, ph=8.3, DO=3.4, temperature=30.9, salinity=114.9}, earth={time=28/08/2023 15:21:00, station=3, temperature=26.6, moisture=28.5, ph=12.3, salinity=8.2, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=28/08/2023 09:48:00, station=1, temperature=36.4, moisture=67.4, light=803, total_rainfall=3176.4, rainfall=0, wind_direction=81, pm25=1.0, pm10=3.8, co=4, nox=0, so2=0}, water={time=28/08/2023 09:48:00, station=2, ph=8.4, DO=3.7, temperature=28.7, salinity=113.9}, earth={time=28/08/2023 09:48:00, station=3, temperature=26.8, moisture=27.7, ph=12.6, salinity=8.3, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=28/08/2023 09:41:00, station=1, temperature=35.6, moisture=68.3, light=758, total_rainfall=3176.4, rainfall=0, wind_direction=119, pm25=0.7, pm10=1.4, co=4, nox=0, so2=0}, water={time=28/08/2023 09:41:00, station=2, ph=8.4, DO=3.7, temperature=28.7, salinity=113.8}, earth={time=28/08/2023 09:41:00, station=3, temperature=26.8, moisture=27.6, ph=12.0, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=28/08/2023 08:39:00, station=1, temperature=35.9, moisture=69.3, light=573, total_rainfall=3176.4, rainfall=0, wind_direction=94, pm25=0.8, pm10=2.4, co=3, nox=0, so2=0}, water={time=28/08/2023 08:39:00, station=2, ph=8.3, DO=3.9, temperature=27.9, salinity=113.7}, earth={time=28/08/2023 08:39:00, station=3, temperature=26.8, moisture=27.3, ph=12.4, salinity=8.2, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=28/08/2023 08:33:00, station=1, temperature=35.3, moisture=70.6, light=528, total_rainfall=3176.4, rainfall=0, wind_direction=110, pm25=0.5, pm10=0.5, co=3, nox=0, so2=0}, water={time=28/08/2023 08:33:00, station=2, ph=8.3, DO=3.9, temperature=27.9, salinity=114.0}, earth={time=28/08/2023 08:33:00, station=3, temperature=27.1, moisture=27.3, ph=12.1, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=28/08/2023 05:46:00, station=1, temperature=26.3, moisture=99.5, light=7, total_rainfall=3176.4, rainfall=0, wind_direction=110, pm25=0.8, pm10=0.9, co=2, nox=0, so2=0}, water={time=28/08/2023 05:46:00, station=2, ph=8.4, DO=3.8, temperature=26.9, salinity=113.8}, earth={time=28/08/2023 05:46:00, station=3, temperature=27.1, moisture=27.0, ph=12.2, salinity=8.1, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=28/08/2023 04:14:00, station=1, temperature=26.1, moisture=99.3, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=152, pm25=1.2, pm10=2.2, co=1, nox=0, so2=0}, water={time=28/08/2023 04:14:00, station=2, ph=8.4, DO=3.8, temperature=27.0, salinity=114.4}, earth={time=28/08/2023 04:14:00, station=3, temperature=27.1, moisture=26.9, ph=12.0, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=27/08/2023 21:09:00, station=1, temperature=25.3, moisture=97.2, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=120, pm25=0.2, pm10=0.3, co=1, nox=0, so2=0}, water={time=27/08/2023 21:09:00, station=2, ph=8.4, DO=4.0, temperature=28.8, salinity=115.5}, earth={time=27/08/2023 21:09:00, station=3, temperature=27.1, moisture=27.1, ph=12.3, salinity=8.1, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=27/08/2023 16:11:00, station=1, temperature=26.9, moisture=89.9, light=85, total_rainfall=3176.4, rainfall=0, wind_direction=139, pm25=1.2, pm10=1.3, co=3, nox=0, so2=0}, water={time=27/08/2023 16:11:00, station=2, ph=8.4, DO=3.7, temperature=30.9, salinity=116.1}, earth={time=27/08/2023 16:11:00, station=3, temperature=27.2, moisture=28.0, ph=12.0, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=27/08/2023 15:03:00, station=1, temperature=34.7, moisture=64.8, light=998, total_rainfall=3176.4, rainfall=0, wind_direction=102, pm25=1.1, pm10=1.5, co=6, nox=0, so2=0}, water={time=27/08/2023 15:03:00, station=2, ph=8.3, DO=3.5, temperature=31.2, salinity=115.7}, earth={time=27/08/2023 15:03:00, station=3, temperature=27.4, moisture=28.3, ph=12.0, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=27/08/2023 13:52:00, station=1, temperature=33.8, moisture=69.5, light=1696, total_rainfall=3176.4, rainfall=0, wind_direction=79, pm25=0.5, pm10=0.6, co=5, nox=0, so2=0}, water={time=27/08/2023 13:52:00, station=2, ph=8.3, DO=3.4, temperature=30.7, salinity=115.3}, earth={time=27/08/2023 13:52:00, station=3, temperature=27.4, moisture=28.2, ph=12.0, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=27/08/2023 06:33:00, station=1, temperature=27.0, moisture=96.8, light=116, total_rainfall=3176.4, rainfall=0, wind_direction=103, pm25=1.1, pm10=1.9, co=2, nox=0, so2=0}, water={time=27/08/2023 06:33:00, station=2, ph=8.4, DO=3.9, temperature=28.2, salinity=115.3}, earth={time=27/08/2023 06:33:00, station=3, temperature=28.1, moisture=27.3, ph=11.6, salinity=7.8, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=27/08/2023 05:52:00, station=1, temperature=26.8, moisture=96.8, light=11, total_rainfall=3176.4, rainfall=0, wind_direction=102, pm25=0.8, pm10=1.5, co=2, nox=0, so2=0}, water={time=27/08/2023 05:52:00, station=2, ph=8.4, DO=3.9, temperature=28.3, salinity=115.5}, earth={time=27/08/2023 05:52:00, station=3, temperature=28.1, moisture=27.3, ph=11.8, salinity=7.9, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=27/08/2023 03:07:00, station=1, temperature=26.8, moisture=95.8, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=88, pm25=0.4, pm10=1.3, co=2, nox=0, so2=0}, water={time=27/08/2023 03:07:00, station=2, ph=8.4, DO=3.9, temperature=28.8, salinity=115.6}, earth={time=27/08/2023 03:07:00, station=3, temperature=28.1, moisture=27.5, ph=11.6, salinity=7.8, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=27/08/2023 02:45:00, station=1, temperature=26.7, moisture=95.8, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=100, pm25=0.5, pm10=0.8, co=2, nox=0, so2=0}, water={time=27/08/2023 02:45:00, station=2, ph=8.4, DO=3.8, temperature=28.8, salinity=115.1}, earth={time=27/08/2023 02:45:00, station=3, temperature=28.1, moisture=27.5, ph=11.5, salinity=7.8, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=27/08/2023 01:53:00, station=1, temperature=26.8, moisture=95.3, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=92, pm25=0.4, pm10=0.6, co=2, nox=0, so2=0}, water={time=27/08/2023 01:53:00, station=2, ph=8.4, DO=3.8, temperature=29.0, salinity=115.2}, earth={time=27/08/2023 01:53:00, station=3, temperature=28.1, moisture=27.5, ph=11.3, salinity=7.7, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=27/08/2023 01:38:00, station=1, temperature=26.9, moisture=95.7, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=90, pm25=0.5, pm10=1.9, co=2, nox=0, so2=0}, water={time=27/08/2023 01:38:00, station=2, ph=8.4, DO=3.8, temperature=29.1, salinity=115.1}, earth={time=27/08/2023 01:38:00, station=3, temperature=28.1, moisture=27.5, ph=11.3, salinity=7.7, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=26/08/2023 10:01:00, station=1, temperature=33.6, moisture=73.6, light=920, total_rainfall=3176.4, rainfall=0, wind_direction=107, pm25=0.7, pm10=0.9, co=4, nox=0, so2=0}, water={time=26/08/2023 10:01:00, station=2, ph=8.3, DO=3.7, temperature=28.7, salinity=113.4}, earth={time=26/08/2023 10:01:00, station=3, temperature=28.9, moisture=27.6, ph=10.5, salinity=7.3, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=26/08/2023 09:02:00, station=1, temperature=32.9, moisture=78.4, light=838, total_rainfall=3176.4, rainfall=0, wind_direction=90, pm25=0.8, pm10=2.7, co=3, nox=0, so2=0}, water={time=26/08/2023 09:02:00, station=2, ph=8.3, DO=3.8, temperature=28.2, salinity=115.2}, earth={time=26/08/2023 09:02:00, station=3, temperature=28.8, moisture=27.4, ph=10.3, salinity=7.1, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=26/08/2023 07:09:00, station=1, temperature=27.5, moisture=96.4, light=191, total_rainfall=3176.4, rainfall=0, wind_direction=100, pm25=1.4, pm10=4.8, co=2, nox=0, so2=0}, water={time=26/08/2023 07:09:00, station=2, ph=8.3, DO=3.9, temperature=27.4, salinity=114.0}, earth={time=26/08/2023 07:09:00, station=3, temperature=28.9, moisture=27.0, ph=10.0, salinity=7.0, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=26/08/2023 00:10:00, station=1, temperature=26.6, moisture=98.9, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=95, pm25=0.8, pm10=1.6, co=2, nox=0, so2=0}, water={time=26/08/2023 00:10:00, station=2, ph=8.4, DO=4.0, temperature=27.9, salinity=114.8}, earth={time=26/08/2023 00:10:00, station=3, temperature=29.4, moisture=27.0, ph=9.4, salinity=6.7, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 14:55:00, station=1, temperature=35.3, moisture=65.6, light=835, total_rainfall=3176.4, rainfall=0, wind_direction=91, pm25=1.4, pm10=2.7, co=6, nox=0, so2=0}, water={time=25/08/2023 14:55:00, station=2, ph=8.3, DO=3.4, temperature=31.4, salinity=115.9}, earth={time=25/08/2023 14:55:00, station=3, temperature=26.8, moisture=28.7, ph=12.0, salinity=8.0, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=25/08/2023 11:04:00, station=1, temperature=36.7, moisture=62.9, light=843, total_rainfall=3176.4, rainfall=0, wind_direction=111, pm25=1.5, pm10=2.8, co=6, nox=0, so2=0}, water={time=25/08/2023 11:04:00, station=2, ph=8.3, DO=3.7, temperature=29.4, salinity=114.3}, earth={time=25/08/2023 11:04:00, station=3, temperature=26.9, moisture=28.1, ph=13.2, salinity=8.6, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 09:54:00, station=1, temperature=36.3, moisture=65.6, light=663, total_rainfall=3176.4, rainfall=0, wind_direction=98, pm25=0.8, pm10=2.1, co=4, nox=0, so2=0}, water={time=25/08/2023 09:54:00, station=2, ph=8.3, DO=3.8, temperature=28.8, salinity=113.5}, earth={time=25/08/2023 09:54:00, station=3, temperature=26.9, moisture=28.0, ph=12.9, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 09:34:00, station=1, temperature=36.9, moisture=63.3, light=608, total_rainfall=3176.4, rainfall=0, wind_direction=161, pm25=0.6, pm10=0.8, co=4, nox=0, so2=0}, water={time=25/08/2023 09:34:00, station=2, ph=8.3, DO=3.8, temperature=28.6, salinity=114.2}, earth={time=25/08/2023 09:34:00, station=3, temperature=26.9, moisture=27.7, ph=12.8, salinity=8.4, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 09:10:00, station=1, temperature=36.7, moisture=63.3, light=549, total_rainfall=3176.4, rainfall=0, wind_direction=142, pm25=1.4, pm10=3.5, co=3, nox=0, so2=0}, water={time=25/08/2023 09:10:00, station=2, ph=8.3, DO=3.8, temperature=28.5, salinity=115.0}, earth={time=25/08/2023 09:10:00, station=3, temperature=24.7, moisture=28.1, ph=11.8, salinity=7.9, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 07:37:00, station=1, temperature=32.0, moisture=85.6, light=613, total_rainfall=3176.4, rainfall=0, wind_direction=118, pm25=1.8, pm10=2.5, co=2, nox=0, so2=0}, water={time=25/08/2023 07:37:00, station=2, ph=8.3, DO=3.8, temperature=27.7, salinity=114.3}, earth={time=25/08/2023 07:37:00, station=3, temperature=26.9, moisture=27.1, ph=13.1, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 07:17:00, station=1, temperature=27.5, moisture=97.0, light=255, total_rainfall=3176.4, rainfall=0, wind_direction=293, pm25=2.3, pm10=3.6, co=2, nox=0, so2=0}, water={time=25/08/2023 07:17:00, station=2, ph=8.4, DO=3.9, temperature=27.7, salinity=114.2}, earth={time=25/08/2023 07:17:00, station=3, temperature=26.9, moisture=27.1, ph=13.3, salinity=8.6, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 05:41:00, station=1, temperature=25.3, moisture=100.0, light=3, total_rainfall=3176.4, rainfall=0, wind_direction=124, pm25=1.2, pm10=2.1, co=1, nox=0, so2=0}, water={time=25/08/2023 05:41:00, station=2, ph=8.4, DO=3.9, temperature=27.8, salinity=115.0}, earth={time=25/08/2023 05:41:00, station=3, temperature=27.0, moisture=27.1, ph=12.9, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=25/08/2023 05:02:00, station=1, temperature=25.6, moisture=99.9, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=121, pm25=1.0, pm10=1.5, co=2, nox=0, so2=0}, water={time=25/08/2023 05:02:00, station=2, ph=8.4, DO=3.9, temperature=27.9, salinity=114.6}, earth={time=25/08/2023 05:02:00, station=3, temperature=26.9, moisture=27.1, ph=13.2, salinity=8.6, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
air={time=24/08/2023 22:34:00, station=1, temperature=26.8, moisture=96.6, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=103, pm25=1.1, pm10=1.7, co=2, nox=0, so2=0}, water={time=24/08/2023 22:34:00, station=2, ph=8.4, DO=3.7, temperature=29.0, salinity=115.1}, earth={time=24/08/2023 22:34:00, station=3, temperature=27.0, moisture=27.5, ph=12.6, salinity=8.3, water_root=0, water_leaf=0, water_level=1, voltage=16.1}
